Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,VRATE,LCSC Part #,Sim.Pins,Sim.Device,Sim.Type,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER
"R20, R21, R25",3,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R22,1,4k75,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R23,1,95k3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R28,1,25 Ohm,TO-220-2_L10.1-W4.5-P5.08-L,,,,tht,Resistor,,,,,,,,,,,,,,,,,
R29,1,105k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R3,1,61k9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R30,1,6k49,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R32,1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R4,1,27k4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R5,1,154,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R6,1,1k4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R7,1,133k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
R8,1,52k3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
TP1,1,TestPoint,TestPoint_Pad_D2.5mm,,,,tht,test point,,,,,,,,,,,,,,,,,
U1,1,TPS54140ADGQR,DGQ10_1P88X1P57_TEX,,,,smt,,,,,,,,,,,,,,,,,,
U2,1,PTPS259830LNRGER,VQFN24_RGE_TEX,,,,smt,,,,,,,,,,,,,,,,,,
U3,1,AP2112K-3.3TRG1,SOT_RG1_DIO,,,,smt,,,,,,,,,,,,,,,,,,
U4,1,NUCLEO-L432KC,MODULE_NUCLEO-L432KC,None,,,tht,,,,,,,,STMicroelectronics,N/A,None,https://www.snapeda.com/parts/NUCLEO-L432KC/STMicroelectronics/view-part/?ref=eda,Manufacturer Recommendations,N/A,https://www.snapeda.com/parts/NUCLEO-L432KC/STMicroelectronics/view-part/?ref=snap,NUCLEO-L432KC,"STM32L432KC, mbed-Enabled Development Nucleo-32 STM32L4 ARM® Cortex®-M4 MCU 32-Bit Embedded Evaluation Board",In Stock,ST Microelectronics
U5,1,TXS0104EPWR,SOP65P640X120-14N,TSSOP-14 Texas Instruments,,,smt,Four-bit bidirectional voltage-level shifter for open-drain and push-pull applications,,,,,,,Texas Instruments,,None,https://www.snapeda.com/parts/TXS0104EPWR/Texas+Instruments/view-part/?ref=eda,,,https://www.snapeda.com/parts/TXS0104EPWR/Texas+Instruments/view-part/?ref=snap,TXS0104EPWR,Four-bit bidirectional voltage-level shifter for open-drain and push-pull applications,In Stock,
U6,1,LM74700QDBVTQ1,SOT95P280X145-6N,SOT-23-6 Texas Instruments,,,smt,,,,,,,,Texas Instruments,1.45mm,None,https://www.snapeda.com/parts/LM74700QDBVTQ1/Texas+Instruments/view-part/?ref=eda,IPC-7351B,F,https://www.snapeda.com/parts/LM74700QDBVTQ1/Texas+Instruments/view-part/?ref=snap,LM74700QDBVTQ1,"3.2-V to 65-V, 80-uA IQ automotive ideal diode controller",In Stock,Texas Instruments
U7,1,25LC256-I/SN,SOIC8-N_MC_MCH,,,,smt,,,,,,,,,,,,,,,,,,
U8,1,AM26LS32ACDR,D16,,,,smt,,,,,,,,,,,,,,,,,,
U9,1,TL431AIDR,D8,,,,smt,,,,,,,,,,,,,,,,,,
